Time,strategy,avg_profit
6.0,Opportunistic,-0.07991770058591606
6.0,Balanced,-0.07085929777813059
6.0,Conservative,-0.03235177465007722
6.0,Aggressive,-0.10431371329251526
6.05,Opportunistic,-0.08042454351931436
6.05,Balanced,-0.07136821896587764
6.05,Cyclic,-0.10507349519463485
6.05,Conservative,-0.032550637246711735
6.05,Aggressive,-0.10490435960729348
6.1,Conservative,-0.03271432522526893
6.1,Cyclic,-0.10551335296023172
6.1,Opportunistic,-0.08114181388673745
6.1,Balanced,-0.07197428004479535
6.1,Aggressive,-0.10561658744963828
6.15,Cyclic,-0.10622703788271222
6.15,Aggressive,-0.10646586210503571
6.15,Opportunistic,-0.08168317330116444
6.15,Balanced,-0.07240350719841722
6.15,Conservative,-0.032970798459368275
6.2,Opportunistic,-0.08218676005538068
6.2,Cyclic,-0.10686216883530719
6.2,Balanced,-0.07283511008945755
6.2,Aggressive,-0.10707587167325748
6.2,Conservative,-0.03323065141894466
6.25,Conservative,-0.033442871803648015
6.25,Cyclic,-0.1077088726833361
6.25,Balanced,-0.0734028583885444
6.25,Aggressive,-0.107829418806104
6.25,Opportunistic,-0.08279452369427039
6.3,Balanced,-0.07381728712212471
6.3,Aggressive,-0.10840256107896369
6.3,Cyclic,-0.10827296085158727
6.3,Opportunistic,-0.08352695878468251
6.3,Conservative,-0.0335656058828837
6.35,Aggressive,-0.10921260573346256
6.35,Conservative,-0.03383957933016033
6.35,Cyclic,-0.10911851812781266
6.35,Opportunistic,-0.08422394015246894
6.35,Balanced,-0.07411326474616481
6.4,Aggressive,-0.11019692982153578
6.4,Cyclic,-0.10979503195564914
6.4,Balanced,-0.07487792504106479
6.4,Opportunistic,-0.08463095064693799
6.4,Conservative,-0.034077605893469476
6.45,Aggressive,-0.1111336199534986
6.45,Cyclic,-0.11059590901908044
6.45,Balanced,-0.0753858371102854
6.45,Conservative,-0.034374167893861364
6.45,Opportunistic,-0.08501156462387215
6.5,Opportunistic,-0.08546808279624109
6.5,Cyclic,-0.11126325267224649
6.5,Balanced,-0.07561594406590783
6.5,Conservative,-0.034377235953092874
6.5,Aggressive,-0.11180505576895979
6.55,Cyclic,-0.11219136105138115
6.55,Opportunistic,-0.0859515246060421
6.55,Aggressive,-0.1128527225124796
6.55,Conservative,-0.0347217610709777
6.55,Balanced,-0.07627160931941958
